beta,sweep,M,absM,M2,E,E2,acceptedFlips,attemptedClusters,acceptedClusters,fixedPairCorr,corr_r1,corr_r2,corr_r3,corr_r4,corr_r5,corr_r6,corr_r7,corr_r8,corr_r9,corr_r10,corr_r50,corr_r75,corr_r100,corr_r125,corr_r150,corr_r175,corr_r200,corr_r225,corr_r250
0.02,21,-0.003424,0.003424,1.17238e-05,-0.040032,0.00160256,0,240293,120290,-1,0.020016,0.00044,-0.001632,0.000352,-0.002568,-0.000104,0.001288,-4e-05,0.001504,-1.6e-05,-0.001656,-0.00092,-0.000656,-0.00108,-0.003048,0.000968,0.000504,0.001464,-0.000352
0.02,22,0.002152,0.002152,4.6311e-06,-0.042992,0.00184831,0,239985,120246,-1,0.021496,0.000208,0.000304,0.003176,0.001872,-0.000256,0.001184,0.001488,-0.001752,-0.001112,-0.000344,-0.00116,0.002024,4.8e-05,0.00068,-0.000888,0.001136,0.000408,0.003504
0.02,23,-9.6e-05,9.6e-05,9.216e-09,-0.041952,0.00175997,0,239975,119930,-1,0.020976,0.00172,-0.00132,0.000176,-0.000496,-0.000224,0.001712,-0.002688,-0.001248,-0.00104,0.000136,-0.00084,0.002952,-0.00172,-0.002072,0.001224,0.003304,-0.001192,-0.000624
0.02,24,-0.00208,0.00208,4.3264e-06,-0.03448,0.00118887,0,240048,119952,1,0.01724,0.001512,0.001112,-0.000768,-0.002472,0.00068,0.000504,-0.00188,0.002664,0.001128,-0.003856,0.000384,4.8e-05,-0.0018,-0.002848,-0.001344,0.000464,-6.4e-05,0.000352
0.02,25,0.0028,0.0028,7.84e-06,-0.042672,0.0018209,0,239876,119957,1,0.021336,-0.002256,0.002728,7.2e-05,0.000456,0.002464,-0.002056,-0.00076,4.8e-05,0.002112,-0.001152,-0.000424,0.00092,-0.000528,0.00076,0.000416,-0.002648,-0.001224,0.00192
0.02,26,-0.002984,0.002984,8.90426e-06,-0.041264,0.00170272,0,240031,119677,1,0.020632,0.00308,0.000968,0.000256,0.000496,-0.001832,0.001848,0.000408,0.000528,0.000768,0.00072,-0.000752,-0.002552,0.00028,0.001136,0.000464,1.6e-05,-0.000792,0.001072
0.02,27,0.002512,0.002512,6.31014e-06,-0.034736,0.00120659,0,240022,120140,-1,0.017368,0.001656,0.001648,0.00116,-0.002424,0.001128,8e-06,-0.002008,0.000472,0.000304,-0.001568,-0.001504,-0.0008,-0.00076,-0.001512,-0.001208,-0.0012,0.001336,0.002208
0.02,28,-0.0002,0.0002,4e-08,-0.035952,0.00129255,0,239868,119837,-1,0.017976,0.000584,-0.001728,-0.001872,-0.000312,0.000816,-0.000256,-0.002416,-0.000608,0.000768,0.000576,0.00172,1.6e-05,-0.001024,0.001184,0.001264,-0.000112,1.6e-05,0.001664
0.02,29,-0.002216,0.002216,4.91066e-06,-0.040416,0.00163345,0,239868,120101,-1,0.020208,-0.00124,-0.002768,0.000904,-0.000304,0.00116,-0.001664,-8.8e-05,0.001304,0.001584,0.001704,-0.000576,0.000136,0.00164,0.001464,-0.001208,0.001432,0.001168,-0.00048
0.02,30,0.002144,0.002144,4.59674e-06,-0.044256,0.00195859,0,240126,120039,-1,0.022128,0.000856,-0.000408,-0.003192,-0.001752,0.000928,0.00208,-0.000336,0.00116,0.002784,0.00156,-0.000928,-0.001472,-0.001512,0.000792,0.001344,-0.000184,-0.002592,0.002096
0.02,31,0.0008,0.0008,6.4e-07,-0.039536,0.0015631,0,239998,119895,1,0.019768,0.0006,0.001992,-0.001976,-0.001536,-0.00356,4.8e-05,-0.000792,0.000816,0.002088,-0.000448,-0.000872,0.002432,-0.000448,-0.001416,0.001952,-0.000144,-0.000312,-0.001328
0.02,32,-0.0016,0.0016,2.56e-06,-0.04168,0.00173722,0,240022,119880,-1,0.02084,0.000512,0.001104,0.000944,0.002232,-0.0014,4.8e-05,-0.000312,0.001576,0.000144,0.001344,0.001184,0.000632,-0.000768,-1.6e-05,-0.000776,0.002224,0.003024,0.005872
0.02,33,0.004888,0.004888,2.38925e-05,-0.038848,0.00150917,0,240044,120035,-1,0.019424,-0.000104,0.0004,-0.001176,0.000936,-0.001472,-0.000528,-0.001272,0.00052,-0.000632,0.000456,0.00128,8.8e-05,-0.001264,0.000968,-0.001408,0.00104,0.001448,-0.00256
0.02,34,0.000832,0.000832,6.92224e-07,-0.04168,0.00173722,0,240012,119926,1,0.02084,-0.000904,0.002168,-0.000976,-0.00032,-0.002696,-0.000392,0.000528,0.001912,0.000128,0.00224,8e-06,-0.00072,0.001024,-0.0016,-0.00228,-0.000864,0.002352,0.00176
0.02,35,0.00152,0.00152,2.3104e-06,-0.030416,0.000925133,0,240246,120136,1,0.015208,-0.00016,0.000216,0.001752,-0.002232,0.000288,-0.000664,-0.00136,-0.00056,-0.0004,2.4e-05,2.4e-05,-0.00012,0.00068,0.000656,-0.000832,-0.00128,0.002752,-0.0012
0.02,36,0.001952,0.001952,3.8103e-06,-0.035744,0.00127763,0,240292,120369,1,0.017872,0.001344,-0.000432,-0.003096,0.002504,-9.6e-05,0.003872,0.001496,-0.000128,0.001136,0.001104,-0.001312,-0.000824,-0.000392,-0.000328,0.002016,-0.00032,0.003576,0.002912
0.02,37,0.00032,0.00032,1.024e-07,-0.036656,0.00134366,0,240246,120326,1,0.018328,0.002056,-0.001496,-0.001272,-0.00148,-0.000448,0.000216,-0.000424,-0.00056,-5.6e-05,-0.000904,-4.8e-05,-0.001488,-0.00012,-0.001088,0.001016,-0.000168,-0.001344,0.001648
0.02,38,-0.002216,0.002216,4.91066e-06,-0.04064,0.00165161,0,240086,119880,-1,0.02032,0.002728,-0.000392,0.00068,0.00072,0.002104,0.0002,0.001856,0.00016,-0.001232,-0.00016,-0.00108,0.001536,-0.001728,0.000952,0.001232,0.000928,-0.000912,-0.001488
0.02,39,-0.001904,0.001904,3.62522e-06,-0.0448,0.00200704,0,239834,119847,-1,0.0224,0.001152,-0.000976,-3.2e-05,-0.000992,-0.000472,0.000464,-0.000128,0.001472,-0.001736,-0.003896,3.2e-05,8.8e-05,0.000216,0.00164,0.000176,0.001176,-0.001616,-0.0008
0.02,40,-0.000824,0.000824,6.78976e-07,-0.04504,0.0020286,0,239874,119709,1,0.02252,2.4e-05,-2.4e-05,0.000256,-0.000608,-0.000336,-0.000184,0.002128,0.000336,-0.000376,-0.001416,-0.00436,0.000296,-0.000312,0.000512,-0.0008,0.002328,0.000768,0.000464
0.02,41,0.002024,0.002024,4.09658e-06,-0.041024,0.00168297,0,239969,120156,-1,0.020512,-7.2e-05,-0.0008,-0.001192,0.001784,0.00064,-0.000336,0.001312,-0.000488,0.002,-0.000664,0.00084,0.00032,0.000304,0.002624,-0.002032,-0.000384,0.00096,0.000416
0.02,42,-0.001968,0.001968,3.87302e-06,-0.040592,0.00164771,0,239791,120231,1,0.020296,0.000208,-5.6e-05,0.001336,0.000336,-0.00268,0.000312,-0.002184,-0.004104,0.00092,-0.000624,-0.000952,-0.00104,0.005032,8e-06,-0.003504,0.000136,0.003208,0.001712
0.02,43,0.002008,0.002008,4.03206e-06,-0.041504,0.00172258,0,239957,119679,1,0.020752,-0.001184,-0.00048,-0.000768,0.001416,0.001328,0.00076,0.001464,-0.000184,0.000392,5.6e-05,-0.00152,0.000928,0.001936,-0.000248,0.00116,0.001992,0.001208,-0.000304
0.02,44,-0.004472,0.004472,1.99988e-05,-0.0348,0.00121104,0,239965,119922,1,0.0174,0.001296,-0.000416,-0.00012,0.002592,0.000544,0.002144,0.000512,0.00104,0.001552,0.000656,-0.000464,-0.001328,0.00088,-0.00076,0.002224,0.00028,0.0014,0.001952
