beta,sweep,M,absM,M2,E,E2,acceptedFlips,attemptedClusters,acceptedClusters,fixedPairCorr,corr_r1,corr_r2,corr_r3,corr_r4,corr_r5,corr_r6,corr_r7,corr_r8,corr_r9,corr_r10,corr_r50,corr_r75,corr_r100,corr_r125,corr_r150,corr_r175,corr_r200,corr_r225,corr_r250
0.18,130,-0.002256,0.002256,5.08954e-06,-0.379072,0.143696,0,160407,80127,-1,0.189536,0.038096,0.008728,0.00188,-0.000192,-0.00048,0.00028,-0.000416,-0.001096,-0.002992,-0.000352,0.000736,0.000296,-0.001224,-0.00352,-0.003104,-0.003248,0.000944,8e-05
0.18,131,0.00112,0.00112,1.2544e-06,-0.383184,0.14683,0,160370,79991,-1,0.191592,0.037648,0.010344,0.00484,-0.000168,-0.001968,-0.002328,-0.002288,-0.00144,0.000856,0.00056,-0.00164,0.000176,0.000592,-0.000672,0.001224,0.00084,0.000336,-0.002096
0.18,132,-0.003512,0.003512,1.23341e-05,-0.377568,0.142558,0,160184,80230,-1,0.188784,0.03864,0.010216,0.00172,0.00136,0.001432,0.000496,0.002024,-0.000784,0.000208,-0.00072,-0.001352,0.003616,-0.000824,0.001704,-0.000216,-0.001208,0.002008,-0.001552
0.18,133,0.006008,0.006008,3.60961e-05,-0.385008,0.148231,0,160342,80179,1,0.192504,0.039288,0.00844,0.002808,0.000424,0.000288,-0.000264,-3.2e-05,-0.000776,-0.00096,0.001352,-0.0002,0.002304,-0.003376,-0.001792,0.000248,-0.000376,-0.000664,-0.000896
0.18,134,-0.003656,0.003656,1.33663e-05,-0.380256,0.144595,0,160196,80199,1,0.190128,0.037152,0.0082,0.001696,0.001552,0.000456,0.002056,0.000584,-0.000168,0.000272,-0.000936,0.002232,0.000528,-0.001112,0.001384,0.001128,-0.000728,-0.00032,-0.000304
0.18,135,-0.007088,0.007088,5.02397e-05,-0.380864,0.145057,0,160650,80181,1,0.190432,0.038344,0.006608,0.000384,-0.000616,0.001496,0.002288,0.001336,-0.000368,-0.002648,-0.00048,-0.000856,-0.001016,0.00216,0.000256,0.000576,0.000256,4e-05,0.0008
0.18,136,0.00372,0.00372,1.38384e-05,-0.378816,0.143502,0,160207,80270,1,0.189408,0.038728,0.007944,0.00328,0.000328,-0.000904,0.001896,0.001,-0.000192,0.000824,0.001072,0.00084,0.001256,0.002496,0.001368,0.000808,-0.000432,0.001088,-0.003904
0.18,137,0.003784,0.003784,1.43187e-05,-0.380944,0.145118,0,160188,80036,1,0.190472,0.037096,0.009976,0.0028,0.001624,0.002152,-0.000568,-1.6e-05,0.001752,0.000376,-0.001576,-0.002056,-0.000624,0.000472,0.000992,-0.0006,-0.001736,7.2e-05,0.002352
0.18,138,-0.004712,0.004712,2.22029e-05,-0.388064,0.150594,0,160521,80400,1,0.194032,0.04028,0.009624,0.003544,0.001216,0.002088,-0.000744,-0.001608,0.001112,0.001528,0.000296,-0.001456,0.000424,0.001008,-0.000856,-0.001056,0.003112,0.001872,0.001296
0.18,139,-0.000984,0.000984,9.68256e-07,-0.380272,0.144607,0,160172,79844,-1,0.190136,0.03788,0.00784,0.003344,0.00072,-0.00092,-0.002184,0.000264,-0.000944,-0.000976,0.003104,-0.000488,-0.001704,0.001208,-0.000144,0.000656,0.001688,0.001976,0.001792
0.18,140,0.003936,0.003936,1.54921e-05,-0.380576,0.144838,0,160297,80097,-1,0.190288,0.038904,0.010488,0.000936,0.001112,-2.4e-05,-2.4e-05,-0.001016,0.00052,-0.001352,-0.00188,0.002672,-0.000872,0.002672,-0.000232,-0.000128,0.000608,-0.001248,-0.00024
0.18,141,-0.004864,0.004864,2.36585e-05,-0.376384,0.141665,0,160867,80250,-1,0.188192,0.038448,0.009808,0.002352,-0.00044,0.000624,-0.00236,-0.00088,-0.001896,0.000712,-0.00216,0.001896,-0.001464,-4.8e-05,-0.000664,0.000224,-0.001008,0.0018,0.004976
0.18,142,-0.005224,0.005224,2.72902e-05,-0.379248,0.143829,0,160802,80386,1,0.189624,0.038408,0.007848,0.001664,0.000216,0.001344,0.0008,0.000304,0.000504,0.001488,0.001256,-0.001368,-0.001408,-0.002144,0.002264,-0.000912,-0.002064,0.002272,-0.001136
0.18,143,0.002576,0.002576,6.63578e-06,-0.381312,0.145399,0,160662,80272,-1,0.190656,0.038984,0.01052,0.00308,-0.0012,-0.00332,-0.004136,-0.002504,0.001304,0.001664,0.000496,0.000512,0.001152,0.001144,-0.005456,-0.003752,-0.000112,0.002712,-0.00184
0.18,144,0.002648,0.002648,7.0119e-06,-0.381696,0.145692,0,159896,80418,-1,0.190848,0.038096,0.005312,-0.000432,-0.00272,-0.000824,0.000992,-0.000744,0.000216,0.000184,-0.002744,-0.000928,0.001944,0.001376,0.003032,0.000216,0.000824,0.001784,0.00192
0.18,145,4e-05,4e-05,1.6e-09,-0.377584,0.14257,0,160674,80806,1,0.188792,0.039368,0.011208,0.001656,-0.00052,0.000168,-0.0002,0.001504,0.003664,0.002912,-0.000232,-0.0006,-0.000792,-0.001296,0.000904,-0.000968,-0.000624,0.001856,-0.002432
0.18,146,0.00108,0.00108,1.1664e-06,-0.37824,0.143065,0,160993,80761,1,0.18912,0.03904,0.008696,0.001096,-0.001184,0.001392,0.002848,-0.000136,0.001656,0.003,-0.001072,0.00316,0.002648,-0.000488,-0.002096,0.001304,-0.001648,-0.002728,-0.000656
0.18,147,-0.0064,0.0064,4.096e-05,-0.377536,0.142533,0,160808,80476,-1,0.188768,0.037592,0.00784,0.003632,0.001024,0.00112,0.001528,0.00112,-0.001048,0.000256,0.001536,0.000992,0.001128,-0.000136,0.000488,0.00152,-0.001384,0.001176,0.000224
0.18,148,-0.004928,0.004928,2.42852e-05,-0.380832,0.145033,0,160667,80186,-1,0.190416,0.036824,0.009096,0.001912,0.000192,0.000536,-0.002192,0.00076,0.00112,8e-05,0.001248,0.000856,-0.00032,0.000176,0.00044,-0.000336,-0.000872,0.000672,0.00336
0.18,149,0.006608,0.006608,4.36657e-05,-0.38144,0.145496,0,160688,80463,-1,0.19072,0.036576,0.00596,0.000704,0.000592,0.001056,0.002464,0.00248,-0.000208,-0.000416,0.001192,0.000232,-0.000776,0.0002,-0.001072,-0.000248,-0.000272,0.001352,-0.000832
0.18,150,0.001648,0.001648,2.7159e-06,-0.381184,0.145301,0,160120,80029,-1,0.190592,0.036048,0.007456,0.002968,-0.001304,-0.00276,-0.00244,-0.002696,-0.003536,-0.002424,0.001584,0.000304,0.002248,0.000664,-0.000168,0.001472,0.000144,0.00156,0.001072
0.18,151,0.000736,0.000736,5.41696e-07,-0.38104,0.145191,0,160909,80342,1,0.19052,0.039168,0.008128,0.001296,0.00056,0.001944,-0.000472,-0.000584,0.0016,0.002584,0.000944,-0.000488,-0.002072,0,-0.00032,-0.000672,0.002184,0.002016,0.002944
0.18,152,-0.01084,0.01084,0.000117506,-0.378592,0.143332,0,160225,80022,1,0.189296,0.040104,0.010832,0.002448,0,0.000576,-0.000208,-0.001408,0.001136,0.0028,-0.001936,-0.002256,0.0016,0.000648,0.000456,-0.003392,-5.6e-05,0.001392,0.001584
0.18,153,-0.00256,0.00256,6.5536e-06,-0.379344,0.143902,0,160744,79944,1,0.189672,0.038136,0.007184,0.000432,-0.002888,-0.002856,-0.000392,-0.001184,-0.001984,-0.001504,0.001104,-0.001184,0.000968,0.000632,-0.00072,0.00104,0.001608,-0.002144,-0.000576
0.18,154,0.002192,0.002192,4.80486e-06,-0.37952,0.144035,0,160827,79876,1,0.18976,0.037392,0.00652,0.001048,0.001592,0.000656,-0.001608,-0.000232,-0.000192,-0.001192,0.001488,-0.001728,0.002112,0.000848,9.6e-05,-0.001688,0.001128,0.001992,-0.003744
0.18,155,0.001648,0.001648,2.7159e-06,-0.379728,0.144193,0,160752,80094,-1,0.189864,0.039536,0.005712,0.000656,0.00108,0.000888,0.001584,-0.000424,9.6e-05,-0.000744,-9.6e-05,-0.000928,-0.000568,0.002656,0.00036,-0.00072,0.001488,0.000608,0.001952
0.18,156,0.000176,0.000176,3.0976e-08,-0.381552,0.145582,0,160336,80081,1,0.190776,0.040488,0.008864,0.001424,0.002712,-0.000736,-0.000184,-0.000448,0.00068,0.000816,0.002256,0.001416,0.000392,-0.000664,-0.000552,0.00116,0.000424,0.001824,-0.000176
0.18,157,-0.004512,0.004512,2.03581e-05,-0.385616,0.1487,0,160686,80481,1,0.192808,0.035992,0.007104,0.000496,0.00044,-0.000768,-0.002184,-0.002048,0.000152,0.001552,-0.00048,0.001312,-0.000816,7.2e-05,-0.0004,0.001424,-0.000664,-0.000232,-0.000752
0.18,158,-0.000312,0.000312,9.7344e-08,-0.377344,0.142388,0,160452,80434,1,0.188672,0.037952,0.007592,-0.0002,0.000744,0.001064,0.00084,0.001616,0.000216,0.001024,0.002264,0.001864,-0.000584,-0.000272,0.000568,0.000136,0.000776,-8.8e-05,-0.005856
0.18,159,0.002584,0.002584,6.67706e-06,-0.382944,0.146646,0,160513,80185,-1,0.191472,0.039728,0.007848,0.00192,0.002592,0.002592,-0.001632,0.00232,0.001312,0.000416,-0.00172,0.002656,0.001048,-0.002616,-0.000368,-0.000608,0.000312,0.001128,0.001312
0.18,160,-0.005128,0.005128,2.62964e-05,-0.378144,0.142993,0,160740,80274,-1,0.189072,0.038592,0.00832,0.002264,0.001176,0.001224,0.002632,-5.6e-05,0.000904,0.000624,0.00056,-0.001736,-0.000256,0.00148,0.001696,0.003864,-0.000216,-0.00132,-0.000176
0.18,161,-0.000824,0.000824,6.78976e-07,-0.384048,0.147493,0,161085,80481,-1,0.192024,0.037248,0.007704,0.000288,-0.001528,-0.001896,-0.00056,-0.000704,-0.000328,0.000424,0.001232,-0.001232,0.002072,0.000296,7.2e-05,-0.001272,-0.00052,-0.00028,-0.000496
0.18,162,-0.004168,0.004168,1.73722e-05,-0.379888,0.144315,0,160434,79854,-1,0.189944,0.037128,0.006296,0.00132,-0.000752,0.000296,5.6e-05,0.00136,-0.002352,-0.001176,0.000688,-0.001696,-0.001216,-0.002904,0.000104,-0.000336,-0.001224,0.000216,0.002976
0.18,163,0.004256,0.004256,1.81135e-05,-0.380512,0.144789,0,160307,80142,-1,0.190256,0.039488,0.008744,-7.2e-05,0.000792,0.000656,0.000584,4e-05,0.001864,0.000552,-0.001336,0.0006,-0.00064,0.001664,-9.6e-05,-0.001704,-0.000504,-0.000656,-0.002432
0.18,164,0.00192,0.00192,3.6864e-06,-0.37728,0.14234,0,160512,80217,-1,0.18864,0.038,0.007248,0.001152,2.4e-05,0.000176,0.00016,-0.002512,0.000704,-6.4e-05,-0.001136,-0.002936,-0.000832,0.002664,-0.00052,0.002336,0.0012,-0.000736,-0.000784
0.18,165,-0.001504,0.001504,2.26202e-06,-0.379888,0.144315,0,160361,80427,-1,0.189944,0.040656,0.008288,0.00156,0.00304,4.8e-05,0.000648,-0.000896,0.001744,-0.002112,-0.000952,0.002296,0.001672,-0.000176,0.001616,0.000624,-0.001016,0.00356,0.00064
0.18,166,-0.003936,0.003936,1.54921e-05,-0.383264,0.146891,0,160717,80039,-1,0.191632,0.037824,0.009344,0.002976,0.002184,0.003032,0.000616,-0.001296,-0.001904,-0.000424,-0.002744,-0.001336,-0.001064,-0.001224,-0.001288,0.001448,-0.001672,0.002288,-0.003152
0.18,167,0.00012,0.00012,1.44e-08,-0.377408,0.142437,0,160664,80228,-1,0.188704,0.039024,0.006312,-0.00044,0.002432,0.003144,-8e-05,0.000184,-0.000712,0.001184,-0.00124,-0.0002,-0.001088,0.002712,-0.000432,-0.000528,-0.00092,0.000928,-0.001152
0.18,168,0.006248,0.006248,3.90375e-05,-0.3784,0.143187,0,160658,80383,-1,0.1892,0.039224,0.010312,0.003272,-0.000128,0.004528,0.003392,0.001792,0.000608,0.001016,-0.002568,-3.2e-05,0.000752,-0.001344,0.00048,0.003072,0.003056,-0.000888,-0.003216
0.18,169,0.001504,0.001504,2.26202e-06,-0.382224,0.146095,0,161027,80892,1,0.191112,0.038864,0.007608,0.002048,0.000128,-0.000432,0.000592,0.001176,0.000768,-0.00104,0.00064,-0.000184,-0.001256,-0.000464,0.000304,0.00012,-0.002408,-0.002656,-0.002208
0.18,170,-0.001496,0.001496,2.23802e-06,-0.380592,0.14485,0,160711,80190,-1,0.190296,0.03788,0.008848,0.001168,0.000248,-8e-06,0.001744,2.4e-05,0.001392,-0.000592,4.8e-05,0.000968,0.0008,-0.002616,-0.00212,-3.2e-05,-0.0008,0.002208,8e-05
0.18,171,0.0042,0.0042,1.764e-05,-0.384336,0.147714,0,160027,80060,1,0.192168,0.041096,0.009136,0.003008,0.000936,0.000104,0.001376,0.001048,-0.002032,-0.001024,-0.001488,-0.002632,0.000392,-0.000192,-0.001064,0.000608,0.001736,0.000888,0.001392
0.18,172,-0.000552,0.000552,3.04704e-07,-0.37888,0.14355,0,160367,80150,1,0.18944,0.03664,0.00696,0.001296,0.001496,0.001136,-0.00048,-0.000656,-0.000744,-0.00136,-0.001144,0.000312,-0.001264,0.000416,1.6e-05,0.000816,0.001536,0.000376,0.002592
0.18,173,-0.000136,0.000136,1.8496e-08,-0.377264,0.142328,0,161046,80444,1,0.188632,0.037424,0.00772,0.002632,-0.001144,-0.003208,0.000152,-0.000624,-0.003016,-0.001632,0.002328,0.001568,0.000208,0.00056,0.000816,-0.000144,-0.001128,-0.001824,0.001264
0.18,174,0.001872,0.001872,3.50438e-06,-0.378144,0.142993,0,160866,80866,1,0.189072,0.038424,0.010552,0.002656,0.001728,0.002024,0.001232,-0.002184,-0.000792,0.00088,0.001512,0.002744,0.002416,0.001592,-0.000424,0.000792,0.000256,-0.001896,0.00032
0.18,175,0.002232,0.002232,4.98182e-06,-0.377856,0.142775,0,160820,80378,-1,0.188928,0.034576,0.00576,0.003024,0.000744,-0.000776,0.000656,0.000984,0.000848,0.001112,-2.4e-05,0.000576,-0.00144,-0.00124,-0.0002,0.00036,-8e-06,-0.00144,0.003104
0.18,176,-0.002224,0.002224,4.94618e-06,-0.384176,0.147591,0,160768,80644,1,0.192088,0.038976,0.00732,0.0022,0.001576,-0.001768,-0.001392,-0.00028,-0.000544,0.001496,0.001544,-0.00108,-0.001832,0.000664,-0.000624,-0.002168,0.000576,0.000752,-0.002688
0.18,177,-0.000304,0.000304,9.2416e-08,-0.381712,0.145704,0,160739,80412,-1,0.190856,0.038128,0.00472,-0.000416,-0.000832,0.001208,0.001328,0.001592,0.004104,0.002792,0.00228,-0.00064,-0.001392,0.000296,0.00072,0.001648,-0.000112,-0.000184,-0.001232
0.18,178,0.004784,0.004784,2.28867e-05,-0.3808,0.145009,0,160534,80538,1,0.1904,0.036056,0.006328,0.003824,0.001808,-0.000592,8e-06,-0.000824,-0.000336,-0.001784,0.001344,-0.0022,0.000704,-0.000496,-4e-05,0.000672,0.002144,-0.001792,0.000688
0.18,179,0.002216,0.002216,4.91066e-06,-0.381008,0.145167,0,160512,80166,1,0.190504,0.039648,0.00504,0.002952,0.001504,0.000784,0.002712,0.002856,0.001104,0.00216,0.001448,-0.001128,0.001712,-0.003184,6.4e-05,-0.000752,-0.001976,0.00016,-0.004384
0.18,180,-0.000264,0.000264,6.9696e-08,-0.3772,0.14228,0,160699,80452,-1,0.1886,0.04056,0.009344,0.001592,0.001688,-0.001248,-0.000648,0.000728,0.001384,0.000976,0.000976,-0.001456,4.8e-05,-0.00124,0.002216,-0.000816,-0.000752,-4e-05,0.001072
0.18,181,-0.000888,0.000888,7.88544e-07,-0.37784,0.142763,0,160701,80053,1,0.18892,0.040056,0.00804,0.002624,-3.2e-05,0.000152,-0.000744,-0.001504,-0.000936,-0.000712,-0.000384,-0.001856,0.002864,0.000608,-0.00368,0.000304,0.000144,-0.000376,-0.000688
0.18,182,-0.000672,0.000672,4.51584e-07,-0.377456,0.142473,0,160733,80480,1,0.188728,0.037456,0.00852,0.003272,0.00144,0.001232,-0.001336,-0.001904,0.002064,0.000952,-0.000312,0.000704,-0.001264,-0.001352,0.00256,-0.000392,-0.000216,0.000376,-0.001424
0.18,183,0.001288,0.001288,1.65894e-06,-0.385952,0.148959,0,159951,79922,1,0.192976,0.039368,0.009328,0.001296,0.001856,0.002408,-0.001112,2.4e-05,0.000472,0.002576,0.000192,-0.003608,0.00044,0.001272,-0.00124,-0.000432,0.003664,0.002432,0.000224
0.18,184,-0.002632,0.002632,6.92742e-06,-0.382704,0.146462,0,160543,80360,-1,0.191352,0.037104,0.008688,0.003216,0.000152,-0.001336,-0.0002,-0.00112,-0.002888,-8e-06,-0.000752,0.0002,-0.003424,-0.001208,0.001976,0.000232,0.002912,0.000584,6.4e-05
0.18,185,-0.001672,0.001672,2.79558e-06,-0.380656,0.144899,0,160292,80235,-1,0.190328,0.039512,0.00904,0.00436,0.001328,0.002672,-0.000128,-0.0016,-0.0024,-0.003536,0.000616,-0.001704,0.00056,-0.000528,0.00084,0.000456,0.000368,-0.001248,0.000512
0.18,186,0.001152,0.001152,1.3271e-06,-0.382448,0.146266,0,160640,80279,-1,0.191224,0.03792,0.007616,0.000816,-0.00264,-0.002032,0.001392,0.002696,0.001312,-0.001064,-0.001256,-0.00048,-0.00056,-0.000824,0.000384,0.00084,-0.001728,-0.003816,0.000432
0.18,187,0.001248,0.001248,1.5575e-06,-0.37552,0.141015,0,160539,80475,1,0.18776,0.037528,0.007288,-4e-05,0.000128,-0.000416,0.001568,0.001752,-0.00016,0.00068,0.000112,-0.00024,0.000304,-0.001488,-0.001048,0.000976,-0.000368,-0.00028,0.000976
0.18,188,-0.00332,0.00332,1.10224e-05,-0.376688,0.141894,0,161060,80650,1,0.188344,0.03584,0.008416,0.002664,6.4e-05,0.001008,8e-05,0.000536,0.003112,0.001536,-0.000576,0.00208,-0.00016,0.000144,0.00284,0.001488,-0.001376,0.000336,0.00032
0.18,189,-0.002928,0.002928,8.57318e-06,-0.383248,0.146879,0,160710,80276,-1,0.191624,0.040024,0.009832,0.00456,0.002856,0.0026,0.001104,0.001016,-0.00132,-0.000536,0.0016,0.002616,0.000808,0.001912,0.002128,-0.000472,-2.4e-05,0.000672,0.000176
0.18,190,0.000968,0.000968,9.37024e-07,-0.376192,0.14152,0,160498,80285,1,0.188096,0.035152,0.006728,0.00108,0.003208,-0.000616,-0.001552,0.000792,-0.001696,0.001584,-0.000728,0.000888,-0.001712,0.000168,0.004312,0.0022,0.0016,0.000304,-0.005984
0.18,191,-0.005592,0.005592,3.12705e-05,-0.382384,0.146218,0,160741,80416,1,0.191192,0.038792,0.007888,0.001024,0.000168,0.000448,-0.000672,-0.000648,-0.0022,-0.000872,0.001584,0.00172,-0.000624,0.002544,0.002576,0.00016,-0.0014,-0.001952,-0.001456
0.18,192,0.000272,0.000272,7.3984e-08,-0.377648,0.142618,0,161058,80423,1,0.188824,0.037112,0.00784,0.000904,0.000992,0.00336,0.000672,0.001912,0.001312,0.001552,0.002072,-0.001072,-4.8e-05,0.003256,0.000456,0.001632,-0.000328,-0.000816,0.001408
0.18,193,0.005888,0.005888,3.46685e-05,-0.377008,0.142135,0,160631,80254,-1,0.188504,0.03788,0.005512,0.001688,0.001904,0.000224,-0.000376,-0.001888,-0.00108,0.00116,0.000536,-0.000192,-0.00108,-0.000336,-0.001152,-0.001912,0.00024,-0.001744,-0.000992
0.18,194,-0.002104,0.002104,4.42682e-06,-0.382288,0.146144,0,160847,80324,1,0.191144,0.035784,0.008824,0.000888,0.000312,-0.001152,-0.001176,-0.00208,0.000688,-0.000272,0.000352,0.001152,-0.000416,-0.000216,-0.000256,-0.001648,0.00112,0.001848,-0.001904
0.18,195,-0.004592,0.004592,2.10865e-05,-0.378096,0.142957,0,160564,80062,1,0.189048,0.038008,0.008352,0.001368,0.003432,-0.000616,0.002528,0.000488,-0.00036,0.002256,0.000688,-1.6e-05,0.001704,0.001568,-0.001312,0,0.001552,-0.002312,0.00352
0.18,196,-0.00324,0.00324,1.04976e-05,-0.376368,0.141653,0,160866,80431,1,0.188184,0.037504,0.008656,0.002248,0.000352,0.00104,-0.00128,-0.00336,-0.0016,-0.001056,0.000824,-0.000904,0.001088,-0.000376,0.002584,-0.001864,-0.000952,0.0024,0.001152
0.18,197,-0.001552,0.001552,2.4087e-06,-0.381952,0.145887,0,160962,80336,1,0.190976,0.039248,0.00872,0.004704,0.00136,0.001,-0.003392,-0.004536,-0.00112,0.00192,-0.004568,0.000784,-0.000952,-0.002552,0.003168,-0.00352,0.000336,1.6e-05,-0.003808
0.18,198,0.000128,0.000128,1.6384e-08,-0.381456,0.145509,0,160502,80122,1,0.190728,0.037232,0.007792,0.00128,-0.001752,0.000472,0.001856,0.000864,0.001288,-0.000288,-0.001584,0.000112,0.001296,0.001336,-0.001976,-0.001072,-0.002168,-0.001464,4.8e-05
0.18,199,0.000736,0.000736,5.41696e-07,-0.380832,0.145033,0,160695,80230,-1,0.190416,0.037976,0.008152,0.001688,0.001848,-0.001376,-0.004112,-0.003016,-0.001872,-0.001152,-0.000408,-0.002976,-0.000112,-0.002256,0.00112,0.00252,-0.001104,0.000488,0.003088
0.18,200,-0.000968,0.000968,9.37024e-07,-0.379152,0.143756,0,161045,80268,1,0.189576,0.038568,0.00836,0.00348,0.000376,-0.001304,0.001896,-0.000416,8e-06,-0.00224,0.000456,0.000896,-0.000568,-0.000912,0.002424,0.002344,0.000944,-0.000112,-0.002784
0.2,1,0.007432,0.007432,5.52346e-05,-0.781472,0.610698,0,89013,44732,1,0.390736,0.174528,0.08464,0.041064,0.020176,0.010072,0.004392,0.00108,-0.001216,-0.002128,0.000968,-0.000872,-0.002136,0.002128,0.00148,0.00316,0.001176,-0.004216,0.001152
0.2,2,-0.001936,0.001936,3.7481e-06,-0.503152,0.253162,0,136704,68217,-1,0.251576,0.070152,0.0222,0.006808,0.003704,0.001984,0.001792,0.000368,0.001472,-0.000304,-0.00284,-0.000472,-0.0004,0.00372,0.00236,0.000872,0.001224,-1.6e-05,-0.00256
0.2,3,0.002872,0.002872,8.24838e-06,-0.442496,0.195803,0,147887,73535,-1,0.221248,0.055408,0.013496,0.004576,0.000144,0.001872,-0.000512,-0.001168,0.000296,-4e-05,-0.000968,0.001712,0.001024,0.00344,2.4e-05,0.002152,0.00248,-0.00088,0.000832
0.2,4,0.001592,0.001592,2.53446e-06,-0.429264,0.184268,0,150453,75077,-1,0.214632,0.049904,0.012552,0.002264,0.00072,-0.001424,-0.001288,-0.001272,0.000832,0.000656,0.002464,0.00072,-0.00132,-0.000152,-0.00016,-0.000728,0.000104,0.004168,-0.000288
0.2,5,-0.002792,0.002792,7.79526e-06,-0.425056,0.180673,0,150493,74677,-1,0.212528,0.04876,0.012056,0.002016,0.002184,-0.000272,0.000936,-0.000912,-0.002728,-8e-05,-0.000568,0.000128,-0.003264,-0.000672,-0.000576,-9.6e-05,-0.002224,-0.000288,-0.001424
0.2,6,0.000912,0.000912,8.31744e-07,-0.42872,0.183801,0,151050,75823,-1,0.21436,0.048408,0.010928,0.002056,-8e-06,-0.00108,0.00056,0.000832,0.001664,0.000144,0.000408,0.000304,0.00024,0.00032,-8.8e-05,-0.001664,-0.001416,0.003176,-0.001568
0.2,7,0.006024,0.006024,3.62886e-05,-0.427216,0.182514,0,150461,75307,-1,0.213608,0.048936,0.012784,0.004696,0.001544,0.001688,0.001872,0.001832,-0.000408,-0.001408,0.000632,0.0034,0.00172,0.000384,4.8e-05,-0.000688,0.002536,0.000344,0.001072
0.2,8,-0.004744,0.004744,2.25055e-05,-0.42328,0.179166,0,151180,75809,1,0.21164,0.047248,0.011968,0.00452,-0.00024,-0.003168,0.000232,-0.003056,-0.000656,0.000456,0.000952,-0.000896,0.000184,0.001712,0.005288,0.000824,-0.002296,-0.001792,-0.002448
0.2,9,-0.002816,0.002816,7.92986e-06,-0.425568,0.181108,0,151519,75721,1,0.212784,0.049392,0.014328,0.006048,0.00096,-0.001848,-0.001128,-0.00228,-0.002656,0.002432,-0.001856,4e-05,-0.00052,-0.00124,-0.0004,-0.000856,-0.001928,0.000376,0.000336
0.2,10,-0.001584,0.001584,2.50906e-06,-0.432352,0.186928,0,150750,75224,1,0.216176,0.05112,0.008944,0.000176,-0.001008,-0.00016,0.00172,0.001096,0.00028,-0.001024,-0.001424,0.002944,-0.000352,0.001968,0.000248,0.000576,0.00128,-0.000192,0.000816
0.2,11,0.00548,0.00548,3.00304e-05,-0.429392,0.184377,0,150391,75236,-1,0.214696,0.048472,0.01392,0.004208,0.000808,0.00016,-0.00036,-0.001688,0.002032,0.002344,0.001448,-0.001256,-0.00092,0.001864,0.005312,-0.000776,0.000128,0.000392,-0.002592
0.2,12,4.8e-05,4.8e-05,2.304e-09,-0.427248,0.182541,0,150321,74993,1,0.213624,0.049608,0.012112,0.002152,-0.002448,-0.001888,-0.001088,0.00036,0.000696,0.001688,-0.000312,-0.0002,0.000384,0.00132,-0.001384,-0.00044,-0.001432,-0.000288,-0.000496
0.2,13,-0.000824,0.000824,6.78976e-07,-0.41896,0.175527,0,150830,75251,1,0.20948,0.048952,0.010368,0.0024,0.002104,0.001056,0.001632,0.003072,0.000112,-0.001464,-0.002208,-0.002544,0.003232,8e-05,0.000848,-0.003056,0.0032,-0.000392,0.000704
0.2,14,0.002776,0.002776,7.70618e-06,-0.42168,0.177814,0,151425,75531,1,0.21084,0.045664,0.009824,0.00428,0.003672,0.002184,-0.0018,-0.000704,0.002528,0.000312,-0.000608,-0.002056,0.001232,-0.000968,-0.002856,0.002608,-0.00204,-0.001424,-0.001248
0.2,15,-0.002176,0.002176,4.73498e-06,-0.429264,0.184268,0,150791,75369,1,0.214632,0.05268,0.013456,0.004912,0.001784,-0.001056,0.00148,-0.001016,-0.000152,-0.00192,-0.000768,0.0024,-0.000432,0.001944,0.001928,0.001384,0.000224,-0.000416,0.002064
0.2,16,-0.004856,0.004856,2.35807e-05,-0.430592,0.185409,0,150246,75257,1,0.215296,0.0496,0.01104,0.002992,0.001328,0.001264,0.00112,-0.000128,-0.001008,-0.00216,-0.00088,0.001016,-0.002048,-0.000296,0.001056,0.001664,-0.001912,0.000496,-0.001264
0.2,17,4e-05,4e-05,1.6e-09,-0.433296,0.187745,0,150611,75514,1,0.216648,0.050928,0.013912,0.003368,0.001432,-0.000224,-0.004704,-0.003,0.000536,-0.000264,-0.001304,0.000408,0.000784,0.001104,-0.000136,-0.0006,0.002048,0.000928,0.000176
0.2,18,-0.000576,0.000576,3.31776e-07,-0.428912,0.183966,0,150209,75011,1,0.214456,0.048008,0.011344,0.001808,0.00212,0.000848,-0.000904,0.000704,0.002416,0.001616,0.001104,-0.000904,0.001184,-0.00032,-0.001224,0.000432,-0.002376,-0.001224,-3.2e-05
0.2,19,-0.000728,0.000728,5.29984e-07,-0.422304,0.178341,0,150463,75198,1,0.211152,0.048608,0.014568,0.004712,0.00284,0.000968,-0.000472,-0.000768,-0.001552,-0.00012,0.000184,-0.000496,0.00032,-0.002816,-0.001656,-0.001624,-0.002312,0.001664,-0.001984
0.2,20,0.006344,0.006344,4.02463e-05,-0.433664,0.188064,0,150364,75135,-1,0.216832,0.048584,0.012728,0.00276,0.001976,0.00316,-0.000864,0.000808,-0.000352,0.000896,-0.000664,0.000944,0.001088,0.000368,-0.003184,-0.00012,0.001288,0.001504,0.000512
0.2,21,-0.00284,0.00284,8.0656e-06,-0.426176,0.181626,0,150536,75062,1,0.213088,0.046168,0.009928,0.001376,0.003072,0.001184,0.000624,4e-05,0.00052,-0.000768,-0.00188,0.000608,0.001192,-0.005288,-0.00192,0.000712,9.6e-05,0.000552,0.001344
